onset	duration	trial_type
25.818	0.2	CenterCue
26.301	2	Incongruent
41.31	0.2	NoCue
42.559	2	Incongruent
49.073	0.2	SpatialCue
55.819	2	Congruent
63.832	0.2	CenterCue
66.314	2	Incongruent
69.829	0.2	NoCue
70.312	2	Congruent
74.327	0.2	CenterCue
75.06	2	Congruent
85.071	0.2	CenterCue
86.82	2	Congruent
90.085	0.2	NoCue
91.068	2	Congruent
96.082	0.2	NoCue
101.06	2	Incongruent
104.83	0.2	CenterCue
116.82	2	Congruent
122.34	0.2	CenterCue
122.82	2	Incongruent
125.83	0.2	SpatialCue
129.32	2	Congruent
133.83	0.2	SpatialCue
145.82	2	Incongruent
150.84	0.2	NoCue
151.32	2	Incongruent
155.84	0.2	NoCue
160.82	2	Congruent
164.83	0.2	NoCue
166.56	2	Congruent
169.58	0.2	CenterCue
170.06	2	Incongruent
173.83	0.2	SpatialCue
177.31	2	Incongruent
185.32	0.2	SpatialCue
186.3	2	Incongruent
192.82	0.2	CenterCue
194.05	2	Congruent
197.56	0.2	SpatialCue
198.05	2	Incongruent
213.06	0.2	SpatialCue
215.56	2	Congruent
218.82	0.2	SpatialCue
219.55	2	Congruent
225.07	0.2	CenterCue
231.8	2	Congruent
241.81	0.2	SpatialCue
245.31	2	Congruent
255.32	0.2	NoCue
256.55	2	Congruent
264.56	0.2	SpatialCue
267.05	2	Congruent
270.81	0.2	NoCue
271.79	2	Incongruent
274.81	0.2	NoCue
275.29	2	Incongruent
279.31	0.2	CenterCue
286.04	2	Incongruent
289.55	0.2	CenterCue
290.29	2	Congruent
295.3	0.2	NoCue
307.29	2	Incongruent
313.81	0.2	SpatialCue
315.54	2	Incongruent
330.55	0.2	NoCue
335.55	2	Congruent
338.81	0.2	SpatialCue
339.29	2	Incongruent
344.81	0.2	CenterCue
345.29	2	Incongruent
